#   residuetype  phi  psi  counts  
0	-180	-180	1
0	-180	-175	1
0	-180	-170	0
0	-180	-165	1
0	-180	-160	0
0	-180	-155	0
0	-180	-150	0
0	-180	-145	0
0	-180	-140	0
0	-180	-135	0
0	-180	-130	0
0	-180	-125	0
0	-180	-120	0
0	-180	-115	0
0	-180	-110	0
0	-180	-105	0
0	-180	-100	1
0	-180	-95	0
0	-180	-90	1
0	-180	-85	0
0	-180	-80	0
0	-180	-75	0
0	-180	-70	0
0	-180	-65	0
0	-180	-60	0
0	-180	-55	1
0	-180	-50	0
0	-180	-45	0
0	-180	-40	0
0	-180	-35	0
0	-180	-30	0
0	-180	-25	0
0	-180	-20	0
0	-180	-15	0
0	-180	-10	0
0	-180	-5	0
0	-180	0	0
0	-180	5	0
0	-180	10	0
0	-180	15	0
0	-180	20	0
0	-180	25	0
0	-180	30	0
0	-180	35	1
0	-180	40	0
0	-180	45	0
0	-180	50	0
0	-180	55	0
0	-180	60	0
0	-180	65	0
0	-180	70	0
0	-180	75	1
0	-180	80	0
0	-180	85	0
0	-180	90	0
0	-180	95	0
0	-180	100	0
0	-180	105	1
0	-180	110	0
0	-180	115	0
0	-180	120	0
0	-180	125	0
0	-180	130	0
0	-180	135	4
0	-180	140	3
0	-180	145	4
0	-180	150	7
0	-180	155	15
0	-180	160	15
0	-180	165	17
0	-180	170	12
0	-180	175	1
0	-175	-180	5
0	-175	-175	4
0	-175	-170	0
0	-175	-165	0
0	-175	-160	0
0	-175	-155	0
0	-175	-150	0
0	-175	-145	1
0	-175	-140	0
0	-175	-135	0
0	-175	-130	0
0	-175	-125	0
0	-175	-120	0
0	-175	-115	0
0	-175	-110	1
0	-175	-105	0
0	-175	-100	0
0	-175	-95	0
0	-175	-90	0
0	-175	-85	0
0	-175	-80	0
0	-175	-75	0
0	-175	-70	0
0	-175	-65	0
0	-175	-60	1
0	-175	-55	0
0	-175	-50	2
0	-175	-45	1
0	-175	-40	0
0	-175	-35	0
0	-175	-30	0
0	-175	-25	0
0	-175	-20	0
0	-175	-15	0
0	-175	-10	0
0	-175	-5	0
0	-175	0	0
0	-175	5	0
0	-175	10	0
0	-175	15	0
0	-175	20	0
0	-175	25	0
0	-175	30	0
0	-175	35	0
0	-175	40	0
0	-175	45	0
0	-175	50	0
0	-175	55	0
